epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7348.08,2.40563,3.61186,2.41756,0.38688,0.12362,0.04373,0.01626,2.83577,5.28212,2.80697,0.000476039,0.000476039,0.000476039
2,14507.5,2.42534,3.48994,2.41777,0.40212,0.1445,0.04967,0.0159,2.51446,4.05382,2.45744,0.000942944,0.000942944,0.000942944
3,21636.4,2.28652,3.33709,2.32442,0.51663,0.18632,0.13163,0.04991,2.31141,3.50412,2.31677,0.00140042,0.00140042,0.00140042
4,28760,2.16933,3.18114,2.2477,0.52219,0.20245,0.1658,0.06358,2.16824,3.14026,2.23067,0.00138656,0.00138656,0.00138656
5,35877.8,2.06506,3.05458,2.18579,0.47674,0.31583,0.21227,0.08562,2.09768,3.1318,2.10368,0.00137241,0.00137241,0.00137241
