epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,45212.1,1.20853,1.17931,1.34288,0.87628,0.81782,0.86409,0.612,1.09328,0.86157,1.26609,0.000848969,0.000848969,0.000848969
43,46289.9,1.20441,1.17019,1.33135,0.8654,0.80997,0.85797,0.61588,1.08068,0.85567,1.24991,0.000834822,0.000834822,0.000834822
44,47368,1.20839,1.17803,1.33619,0.88531,0.81453,0.86718,0.61905,1.08091,0.85194,1.26062,0.000820675,0.000820675,0.000820675
45,48446.6,1.19649,1.14434,1.31762,0.87483,0.81039,0.86087,0.62172,1.07174,0.84158,1.24735,0.000806528,0.000806528,0.000806528
46,49525.2,1.20253,1.16287,1.33699,0.88117,0.80539,0.8636,0.62269,1.07235,0.8267,1.24388,0.00079238,0.00079238,0.00079238
47,50602.7,1.1913,1.13659,1.33212,0.86515,0.82664,0.87123,0.62616,1.0611,0.81304,1.24363,0.000778233,0.000778233,0.000778233
48,51678.7,1.19286,1.13301,1.32766,0.87659,0.81683,0.86774,0.63114,1.04725,0.80005,1.24548,0.000764086,0.000764086,0.000764086
49,52755.1,1.17786,1.11363,1.3167,0.88364,0.81918,0.87279,0.63358,1.04079,0.78308,1.23307,0.000749939,0.000749939,0.000749939
50,53831.4,1.17986,1.09503,1.32261,0.90487,0.81557,0.87604,0.64207,1.02168,0.76518,1.21685,0.000735792,0.000735792,0.000735792
51,54908.4,1.16421,1.07191,1.31233,0.91346,0.81884,0.87437,0.63313,1.0294,0.75698,1.21624,0.000721645,0.000721645,0.000721645
52,55985.8,1.16743,1.09005,1.30858,0.88715,0.83029,0.88139,0.64511,1.01267,0.76368,1.21971,0.000707498,0.000707498,0.000707498
53,57063.6,1.14093,1.05692,1.29579,0.89612,0.82945,0.88528,0.64338,1.01934,0.74276,1.21473,0.000693351,0.000693351,0.000693351
54,58141.4,1.14763,1.07919,1.30042,0.89353,0.84583,0.88987,0.64366,1.00319,0.73772,1.20589,0.000679204,0.000679204,0.000679204
55,59220.2,1.1068,1.04868,1.28666,0.91236,0.83115,0.88495,0.64861,1.00012,0.74102,1.20664,0.000665057,0.000665057,0.000665057
56,60299.4,1.13531,1.02354,1.28798,0.90323,0.84273,0.88937,0.65131,0.98773,0.72025,1.20049,0.000650909,0.000650909,0.000650909
57,61378.3,1.12907,1.06124,1.28747,0.90101,0.84119,0.88699,0.65471,0.99679,0.72529,1.20679,0.000636762,0.000636762,0.000636762
58,62458.1,1.13676,1.02752,1.29155,0.89008,0.83254,0.88296,0.65267,0.9865,0.71941,1.19971,0.000622615,0.000622615,0.000622615
59,63537,1.12388,1.02132,1.28691,0.91276,0.81944,0.88661,0.65582,0.9879,0.69263,1.19096,0.000608468,0.000608468,0.000608468
60,64620.6,1.09868,0.99479,1.26764,0.92268,0.82933,0.8859,0.65916,0.96593,0.69378,1.18392,0.000594321,0.000594321,0.000594321
61,65706.3,1.10522,1.00109,1.26957,0.89298,0.83107,0.88532,0.66558,0.96396,0.69584,1.18468,0.000580174,0.000580174,0.000580174
62,66788.7,1.0895,0.996,1.27168,0.89204,0.83537,0.88283,0.66021,0.963,0.69794,1.18553,0.000566027,0.000566027,0.000566027
63,67868.6,1.09558,0.9783,1.25998,0.90627,0.85203,0.89597,0.66843,0.95387,0.67643,1.17822,0.00055188,0.00055188,0.00055188
64,68948.3,1.07756,0.96881,1.25339,0.89056,0.85528,0.89603,0.67097,0.94972,0.67323,1.17423,0.000537733,0.000537733,0.000537733
65,70028.3,1.07526,0.96057,1.25715,0.90841,0.84591,0.89717,0.67046,0.94608,0.67573,1.1688,0.000523586,0.000523586,0.000523586
66,71108.3,1.07747,0.93547,1.25605,0.91649,0.84827,0.89851,0.67171,0.94016,0.66314,1.16551,0.000509438,0.000509438,0.000509438
67,72188.7,1.07916,0.96272,1.25291,0.90083,0.84081,0.89406,0.67097,0.94185,0.67456,1.166,0.000495291,0.000495291,0.000495291
68,73268,1.05385,0.94619,1.23602,0.9133,0.85882,0.90092,0.67735,0.92895,0.64725,1.15828,0.000481144,0.000481144,0.000481144
69,74345.3,1.06691,0.93204,1.24494,0.90782,0.85722,0.90191,0.67478,0.92099,0.64282,1.15682,0.000466997,0.000466997,0.000466997
70,75419.4,1.04579,0.92422,1.23042,0.927,0.8538,0.90424,0.68394,0.9105,0.63115,1.14933,0.00045285,0.00045285,0.00045285
71,76500.9,1.03617,0.89862,1.2312,0.91908,0.85847,0.90685,0.68736,0.9057,0.62628,1.14544,0.000438703,0.000438703,0.000438703
72,77586.1,1.03991,0.90032,1.2288,0.92648,0.86114,0.90627,0.68668,0.89969,0.61874,1.14161,0.000424556,0.000424556,0.000424556
73,78672,1.03686,0.89711,1.23161,0.91613,0.86481,0.90713,0.69048,0.89848,0.61903,1.14197,0.000410409,0.000410409,0.000410409
74,79759.5,1.04573,0.90214,1.2331,0.92894,0.85299,0.90779,0.69481,0.90048,0.61322,1.14639,0.000396262,0.000396262,0.000396262
75,80847.3,1.01299,0.86874,1.21241,0.92807,0.85244,0.90525,0.69354,0.88833,0.60484,1.13588,0.000382115,0.000382115,0.000382115
76,81935.8,1.00872,0.87107,1.21341,0.93024,0.84921,0.90271,0.69329,0.88881,0.61417,1.13592,0.000367967,0.000367967,0.000367967
77,83025.4,1.01814,0.87562,1.20485,0.92674,0.85615,0.90588,0.69357,0.8886,0.6083,1.13727,0.00035382,0.00035382,0.00035382
