epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1051.19,2.26254,3.00829,2.12241,0.62492,0.13574,0.15835,0.05968,2.60551,3.39346,2.41071,0.000476125,0.000476125,0.000476125
2,2089.27,2.25884,2.94937,2.12338,0.63559,0.20466,0.18738,0.07741,2.47966,5.54744,2.42448,0.000943029,0.000943029,0.000943029
3,3125.3,2.10984,2.75186,2.03058,0.4958,0.26593,0.31563,0.15501,2.17579,3.59457,2.06558,0.0014005,0.0014005,0.0014005
4,4159.18,2.00019,2.53377,1.90118,0.78674,0.31652,0.42404,0.2271,1.89008,2.22182,1.86671,0.00138656,0.00138656,0.00138656
5,5186.42,1.93466,2.41854,1.85685,0.50361,0.56165,0.5,0.26604,1.86013,2.21757,1.85352,0.00137241,0.00137241,0.00137241
6,6212.05,1.78759,2.25962,1.78612,0.46773,0.46266,0.44409,0.25882,1.77751,2.66287,1.797,0.00135826,0.00135826,0.00135826
7,7242.69,1.7397,2.16938,1.73013,0.56678,0.56954,0.573,0.34469,1.7072,1.84262,1.69665,0.00134412,0.00134412,0.00134412
8,8276.52,1.71618,2.11159,1.7035,0.56514,0.5864,0.58118,0.34505,1.65347,1.9647,1.68547,0.00132997,0.00132997,0.00132997
9,9311.56,1.66817,1.99218,1.6773,0.61312,0.59678,0.58885,0.35398,1.63327,1.81208,1.68058,0.00131582,0.00131582,0.00131582
10,10347.2,1.63202,1.96788,1.63454,0.68361,0.62038,0.63095,0.38079,1.61611,2.08126,1.65638,0.00130168,0.00130168,0.00130168
11,11383.5,1.63314,1.96587,1.64629,0.69574,0.63933,0.677,0.41101,1.54715,1.55533,1.59457,0.00128753,0.00128753,0.00128753
12,12419.8,1.58702,1.87066,1.60008,0.69002,0.62244,0.66801,0.40985,1.48456,1.8013,1.56074,0.00127338,0.00127338,0.00127338
13,13455.8,1.56538,1.84004,1.58743,0.70836,0.66172,0.69419,0.43273,1.45583,1.6249,1.52431,0.00125923,0.00125923,0.00125923
14,14492.8,1.54807,1.81121,1.56695,0.70109,0.65555,0.68818,0.4427,1.43244,1.53797,1.52138,0.00124509,0.00124509,0.00124509
15,15529.9,1.50395,1.76777,1.54806,0.68715,0.67191,0.67343,0.42878,1.49856,2.00643,1.56611,0.00123094,0.00123094,0.00123094
16,16567.1,1.50284,1.73431,1.54216,0.75263,0.69845,0.71968,0.44888,1.41995,1.45981,1.50737,0.00121679,0.00121679,0.00121679
17,17604.3,1.47923,1.6817,1.53756,0.73829,0.68723,0.72197,0.46356,1.3875,1.36418,1.47834,0.00120265,0.00120265,0.00120265
18,18641.7,1.4801,1.69719,1.52877,0.71752,0.7004,0.7209,0.47533,1.38393,1.41005,1.46354,0.0011885,0.0011885,0.0011885
19,19678.7,1.46455,1.6319,1.51933,0.77642,0.68745,0.74722,0.48285,1.40949,1.40183,1.48525,0.00117435,0.00117435,0.00117435
20,20716.3,1.43664,1.56957,1.50586,0.76259,0.74621,0.76761,0.51127,1.32412,1.25294,1.43608,0.00116021,0.00116021,0.00116021
21,21753.6,1.4258,1.5395,1.4912,0.81517,0.73247,0.77913,0.5098,1.3688,1.36594,1.45934,0.00114606,0.00114606,0.00114606
22,22790.9,1.42515,1.5239,1.49617,0.83729,0.74132,0.79876,0.50597,1.3522,1.19024,1.45075,0.00113191,0.00113191,0.00113191
23,23827.7,1.38548,1.52313,1.47394,0.8015,0.73251,0.76841,0.51561,1.31425,1.21674,1.42648,0.00111776,0.00111776,0.00111776
24,24865.1,1.38759,1.51876,1.45593,0.82345,0.75914,0.79712,0.52772,1.31681,1.21286,1.42032,0.00110362,0.00110362,0.00110362
25,25903.2,1.35156,1.4311,1.44432,0.79075,0.75055,0.80043,0.53769,1.25852,1.13822,1.3753,0.00108947,0.00108947,0.00108947
26,26941.6,1.3647,1.4843,1.45032,0.8349,0.75458,0.80028,0.53655,1.26985,1.13133,1.38044,0.00107532,0.00107532,0.00107532
27,27970.6,1.35933,1.47279,1.43685,0.83025,0.74288,0.79118,0.53606,1.26719,1.16066,1.38366,0.00106118,0.00106118,0.00106118
28,28999.1,1.34463,1.43116,1.44018,0.85207,0.77727,0.82748,0.5588,1.23988,1.05433,1.35645,0.00104703,0.00104703,0.00104703
29,30027.7,1.32907,1.35312,1.41724,0.85038,0.7722,0.82687,0.55581,1.24841,1.0605,1.37449,0.00103288,0.00103288,0.00103288
30,31054.3,1.34459,1.40279,1.43865,0.85064,0.7726,0.82335,0.5627,1.22559,1.03123,1.36101,0.00101873,0.00101873,0.00101873
31,32079.3,1.31411,1.35967,1.40435,0.85322,0.77172,0.82122,0.56733,1.19289,1.03253,1.34249,0.00100459,0.00100459,0.00100459
32,33103.5,1.29261,1.33437,1.40468,0.8674,0.78141,0.83398,0.56971,1.219,1.00864,1.35265,0.00099044,0.00099044,0.00099044
33,34127.8,1.32447,1.3316,1.41037,0.85755,0.77693,0.83368,0.57647,1.17632,0.98394,1.322,0.000976293,0.000976293,0.000976293
34,35151.9,1.27747,1.30626,1.3829,0.85829,0.79378,0.84231,0.58574,1.17048,0.9849,1.331,0.000962146,0.000962146,0.000962146
35,36180.5,1.26937,1.28299,1.37987,0.86316,0.79708,0.8457,0.58546,1.18717,0.92961,1.33751,0.000947999,0.000947999,0.000947999
36,37204.9,1.26043,1.2788,1.38074,0.85751,0.79854,0.84679,0.59763,1.17187,0.96128,1.32537,0.000933851,0.000933851,0.000933851
37,38229.6,1.27089,1.27753,1.38337,0.88392,0.79228,0.84812,0.59515,1.14022,0.92577,1.30305,0.000919704,0.000919704,0.000919704
38,39253.9,1.26543,1.27344,1.38337,0.85173,0.80937,0.8417,0.58674,1.16489,0.94808,1.30567,0.000905557,0.000905557,0.000905557
39,40277.3,1.26445,1.24923,1.38004,0.87723,0.80224,0.85332,0.60013,1.13441,0.9002,1.2985,0.00089141,0.00089141,0.00089141
40,41295.7,1.23619,1.23506,1.35843,0.8796,0.80475,0.85844,0.60663,1.11168,0.89268,1.28931,0.000877263,0.000877263,0.000877263
41,42315.6,1.23251,1.20966,1.34949,0.87256,0.80203,0.84733,0.60675,1.10149,0.87568,1.27928,0.000863116,0.000863116,0.000863116
42,43348.1,1.22808,1.19914,1.35266,0.8727,0.81303,0.85674,0.60951,1.11849,0.85943,1.28873,0.000848969,0.000848969,0.000848969
43,44375.8,1.22191,1.17858,1.35617,0.88707,0.81134,0.86699,0.61137,1.10312,0.86374,1.27806,0.000834822,0.000834822,0.000834822
44,45402.8,1.21187,1.16613,1.335,0.88564,0.8135,0.86666,0.61441,1.11128,0.85875,1.294,0.000820675,0.000820675,0.000820675
45,46428.7,1.19654,1.16421,1.34027,0.88845,0.82133,0.872,0.62796,1.07435,0.80954,1.26035,0.000806528,0.000806528,0.000806528
46,47453.2,1.19363,1.15629,1.3308,0.891,0.82372,0.87036,0.63266,1.06159,0.8168,1.25377,0.00079238,0.00079238,0.00079238
